Date,Price,Open,High,Low,Change %
5/1/2015,"12,962.50","12,962.50","12,962.50","12,962.50",0.00%
4/30/2015,"12,962.50","12,924.50","12,962.50","12,912.50",0.17%
4/29/2015,"12,940.00","12,935.00","12,978.00","12,935.00",-0.31%
4/28/2015,"12,980.00","12,945.00","12,995.00","12,945.00",0.00%
4/27/2015,"12,980.00","12,930.00","12,985.00","12,915.00",0.47%
4/24/2015,"12,919.50","12,924.50","12,948.50","12,909.50",-0.27%
4/23/2015,"12,955.00","12,920.00","12,961.00","12,919.00",0.43%
4/22/2015,"12,900.00","12,925.00","12,965.00","12,885.00",-0.44%
4/21/2015,"12,957.50","12,937.50","12,972.50","12,917.50",0.52%
4/20/2015,"12,890.00","12,855.00","12,900.00","12,852.00",0.31%
4/17/2015,"12,850.00","12,838.00","12,875.00","12,835.00",-0.05%
4/16/2015,"12,856.00","12,869.00","12,874.00","12,804.00",-0.34%
4/15/2015,"12,900.50","12,959.50","12,987.50","12,884.50",-0.62%
4/14/2015,"12,980.50","12,973.50","12,992.50","12,964.50",-0.03%
4/13/2015,"12,985.00","12,905.00","12,990.00","12,905.00",0.54%
4/10/2015,"12,915.00","12,910.00","12,935.00","12,880.00",0.13%
4/9/2015,"12,898.00","12,962.00","12,982.00","12,892.00",-0.44%
4/8/2015,"12,955.00","12,980.00","13,010.00","12,954.00",-0.23%
4/7/2015,"12,985.00","12,955.00","12,990.00","12,953.00",0.20%
